Trace
Swept SA
A.33.03,N9020B
955900000,1.55925250053406
957000000,1.55230391025543
958100000,1.53800582885742
959200000,1.55016553401947
960300000,1.56012034416199
961400000,1.57228004932404
962500000,1.54548811912537
963600000,1.57087659835815
964700000,1.55216896533966
965800000,1.57314789295197
966900000,1.55370533466339
968000000,1.57762396335602
969100000,1.57949447631836
970200000,1.57254588603973
971300000,1.57515132427216
972400000,1.56158828735352
973500000,1.58256721496582
974600000,1.58149802684784
975700000,1.56646502017975
976800000,1.55216693878174
977900000,1.5599170923233
979000000,1.57134175300598
980100000,1.57615208625793
981200000,1.58321976661682
982300000,1.59722280502319
983400000,1.59211754798889
984500000,1.5723135471344
985600000,1.59072613716125
986700000,1.57239198684692
987800000,1.57978069782257
988900000,1.59892821311951
990000000,1.62469029426575
991100000,1.61958503723145
992200000,1.64240729808807
993300000,1.63803696632385
994400000,1.64322078227997
995500000,1.62782633304596
996600000,1.62419092655182
997700000,1.65509748458862
998800000,1.63088381290436
999900000,1.6202210187912
1001000000,1.62212371826172
1002100000,1.64827930927277
1003200000,1.65826642513275
1004300000,1.64914500713348
1005400000,1.651047706604
1006500000,1.66250467300415
1007600000,1.65338325500488
1008700000,1.65455102920532
1009800000,1.64910435676575
1010900000,1.64218783378601
1012000000,1.65364468097687
1013100000,1.66142690181732
1014200000,1.66406452655792
1015300000,1.6711118221283
1016400000,1.6664000749588
1017500000,1.67271244525909
1018600000,1.68049466609955
1019700000,1.6632889509201
1020800000,1.69605898857117
1021900000,1.68473291397095
1023000000,1.68663561344147
1024100000,1.6988273859024
1025200000,1.69852530956268
1026300000,1.69307863712311
1027400000,1.69095540046692
1028500000,1.69814538955688
1029600000,1.68181753158569
1030700000,1.68680286407471
1031800000,1.66974008083344
1032900000,1.68060481548309
1034000000,1.67089140415192
1035100000,1.67514169216156
1036200000,1.65734398365021
1037300000,1.66306412220001
1038400000,1.68274819850922
1039500000,1.68405878543854
1040600000,1.6838995218277
1041700000,1.678595662117
1042800000,1.65638828277588
1043900000,1.67901206016541
1045000000,1.67297327518463
1046100000,1.68971753120422
1047200000,1.66530537605286
1048300000,1.69233870506287
1049400000,1.68262529373169
1050500000,1.69202017784119
1051600000,1.69774043560028
1052700000,1.68141257762909
1053800000,1.7084459066391
1054900000,1.69873249530792
1056000000,1.68975389003754
1057100000,1.71237766742706
1058200000,1.7129533290863
1059300000,1.71720373630524
1060400000,1.75820088386536
1061500000,1.73305380344391
1062600000,1.76523172855377
1063700000,1.76874709129333
1064800000,1.77667212486267
1065900000,1.78533208370209
1067000000,1.78370296955109
1068100000,1.80265200138092
1069200000,1.81425166130066
1070300000,1.80086362361908
1071400000,1.83524632453918
1072500000,1.85566520690918
1073600000,1.84301209449768
1074700000,1.87004542350769
1075800000,1.89781379699707
1076900000,1.86752212047577
